DATE,AAPL,AMZN,BA,DWDP,JNJ,JPM,NEE,PG,SPG,VZ,XOM
5/1/1990,0.146137956,NaN,13.612566,3.117906732,3.827351845,3.222604,2.268839,4.609847093,NaN,6.239771874,1.692368089
5/2/1990,0.146138306,NaN,13.77743179,3.067717352,3.868864,3.222605432,2.278176,4.64197009,NaN,6.256232573,1.710963357
5/3/1990,0.147052413,NaN,13.89518971,3.086537702,3.902072694,3.239564802,2.287512355,4.690157366,NaN,6.371480184,1.724911
5/4/1990,0.148879136,NaN,13.9893907,3.080265654,3.926980284,3.375252,2.259502788,4.722279,NaN,6.453795568,1.734210358
5/7/1990,0.152532309,NaN,13.98938672,3.117905653,3.951886282,3.46005921,2.278175786,4.858808442,NaN,6.552579435,1.729561
5/8/1990,0.153445409,NaN,13.895187,3.130454355,3.951883553,3.443098807,2.334196,4.818653626,NaN,6.585510453,1.80407777
5/9/1990,0.153445654,NaN,13.91873779,3.186914353,3.943583244,3.49398147,2.343533,4.762435264,NaN,6.618438198,1.808979383
5/10/1990,0.15253196,NaN,14.22490479,3.205733353,3.926980855,3.443098227,2.352869,4.794558693,NaN,6.618434296,1.838393767
5/11/1990,0.156185756,NaN,14.71947278,3.224555354,4.001700567,3.493981,2.399553,4.842748,NaN,6.815996857,1.882516386
5/14/1990,0.156185535,NaN,14.97990341,3.299836069,4.068116392,3.629669633,2.418227,4.947150891,NaN,7.079420035,1.907027927
5/15/1990,0.153445409,NaN,14.71959062,3.287289,4.059815281,3.68055544,2.418226783,4.939120542,NaN,6.980639631,1.877613153
5/16/1990,0.152531652,NaN,14.62493264,3.287289358,4.090919446,3.629670424,2.418227,4.898963438,NaN,6.914783,1.892321159
5/17/1990,0.154359131,NaN,14.7195869,3.324930011,4.107616629,3.646631228,2.427563784,4.971244538,NaN,6.980637875,1.902125932
5/18/1990,0.151618553,NaN,14.74326,3.293562003,4.090919259,3.663592013,2.418226783,4.971245641,NaN,7.013567871,1.887419162
5/21/1990,0.158413149,NaN,15.14556019,3.287287698,4.132661812,3.68055544,2.40889,5.019428341,NaN,7.046494761,1.892321159
5/22/1990,0.16435401,NaN,15.19288805,3.281014705,4.18275626,3.697516031,2.40889,5.123836458,NaN,7.030028735,1.897223546
5/23/1990,0.168314151,NaN,15.358544,3.249647351,4.166059817,3.680555219,2.408889782,5.099743183,NaN,6.964176,1.872712164
5/24/1990,0.167324131,NaN,15.66618869,3.230827355,4.241199,3.680555219,2.442589632,5.107773361,NaN,6.964170689,1.862907162
5/25/1990,0.161383276,NaN,15.61886266,3.205734722,4.216151257,3.680552,2.423202621,5.059584695,NaN,6.799535731,1.853101306
5/29/1990,0.163363016,NaN,15.52419669,3.249647,4.266243814,3.731438218,2.423204819,5.139898,NaN,6.931246572,1.867809
5/30/1990,0.165344031,NaN,15.61885233,3.249647711,4.299641637,3.731438218,2.432896816,5.27642609,NaN,6.964173457,1.882516775
5/31/1990,0.164353127,NaN,15.83183792,3.180642102,4.282942632,3.731438218,2.452283,5.420986271,NaN,6.865395,1.887418385
6/1/1990,0.166333415,NaN,16.044827,3.155547007,4.30798863,3.799282,2.461975818,5.364764422,NaN,6.881854434,1.89232155
6/4/1990,0.162373127,NaN,16.47079707,3.262193698,4.358082818,3.850164,2.500745813,5.34870435,NaN,6.964179215,1.902124767
6/5/1990,0.162373558,NaN,16.35248258,3.324929361,4.391478272,3.91800821,2.510438626,5.34067067,NaN,6.931249907,1.897222383
6/6/1990,0.156433,NaN,16.16315181,3.324930733,4.349733265,3.951931041,2.491053445,5.252331351,NaN,6.898320869,1.887418773
6/7/1990,0.157423282,NaN,16.11582097,3.299836716,4.324686261,3.88408621,2.491053631,5.260362175,NaN,6.881851698,1.892320929
6/8/1990,0.152472126,NaN,15.80817483,3.268467702,4.299638948,3.867125211,2.471668267,5.260364359,NaN,6.848928617,1.862905532
6/11/1990,0.154453,NaN,16.612783,3.230829009,4.274596,3.857812674,2.461975,5.252331528,NaN,6.832462291,1.882516386
6/12/1990,0.160393,NaN,16.8257672,3.249647351,4.341383,3.857813942,2.471668,5.412952,NaN,6.964172723,1.931539151
6/13/1990,0.161383295,NaN,17.25173315,3.237102075,4.358081259,3.8404335,2.481361455,5.420986639,NaN,6.931251461,1.916832306
6/14/1990,0.159403147,NaN,17.074247,3.199460714,4.30798908,3.718790327,2.461975,5.372798266,NaN,6.898317724,1.887418
6/15/1990,0.158413149,NaN,17.25173398,3.186913709,4.299641,3.666659672,2.461975,5.420987,NaN,6.783075322,1.887418773
6/18/1990,0.156433019,NaN,17.07424858,3.174368747,4.282941888,3.666658585,2.461976096,5.420987386,NaN,6.750146813,1.882515537
6/19/1990,0.157423009,NaN,16.71928183,3.155548379,4.266243814,3.666659,2.432897639,5.372799,NaN,6.651365651,1.867809776
6/20/1990,0.159403129,NaN,16.75476874,3.117906732,4.349733265,3.666659186,2.432896816,5.404919167,NaN,6.58550657,1.877614
6/21/1990,0.16633401,NaN,16.754772,3.0739907,4.483315272,3.597148669,2.423204,5.388861179,NaN,6.618435,1.907028
