DATE,AAPL,AMZN,BA,DWDP,JNJ,JPM,NEE,PG,SPG,VZ,XOM
5/1/1990,0.143854594,NaN,13.40060564,3.055171992,3.769235873,3.154759572,2.22215507,4.545598353,NaN,6.173916671,1.673770637
5/2/1990,0.143398285,NaN,13.65967558,3.030076648,3.785841167,3.188683,2.240828852,4.569690279,NaN,6.206841267,1.678417858
5/3/1990,0.145225689,NaN,13.77743349,3.048896998,3.843956718,3.205642791,2.250165215,4.633939726,NaN,6.272697554,1.710962933
5/4/1990,0.143398966,NaN,13.80098102,3.030077928,3.860562013,3.205641218,2.231492423,4.641968133,NaN,6.338549422,1.720262285
5/7/1990,0.145225428,NaN,13.77742631,3.061444586,3.902072589,3.358292763,2.240828642,4.714248852,NaN,6.420869403,1.715612927
5/8/1990,0.149791976,NaN,13.82453351,3.111633988,3.918674447,3.375254764,2.268838512,4.738342732,NaN,6.503191675,1.78446823
5/9/1990,0.150705524,NaN,13.80098159,3.117906564,3.868862719,3.324370984,2.315522645,4.698186559,NaN,6.486728095,1.784467467
5/10/1990,0.147965221,NaN,13.84808649,3.161819296,3.86886486,3.341331773,2.334195437,4.714247827,NaN,6.519651704,1.81388185
5/11/1990,0.148878778,NaN,14.24845039,3.161820912,3.902073167,3.392214559,2.343532307,4.738343814,NaN,6.552576613,1.813882977
5/14/1990,0.150705284,NaN,14.6959242,3.224554636,3.985093608,3.527903199,2.390216649,4.842746733,NaN,6.783072236,1.867808844
5/15/1990,0.149791976,NaN,14.50660619,3.230827931,4.001699316,3.527905681,2.399553217,4.842747458,NaN,6.865393423,1.853101232
5/16/1990,0.149791635,NaN,14.43561274,3.255921994,4.015780109,3.527903967,2.399553432,4.818652562,NaN,6.799536529,1.853102068
5/17/1990,0.14979228,NaN,14.55393276,3.281015642,4.057523743,3.561825983,2.408890216,4.834716013,NaN,6.848927832,1.872711614
5/18/1990,0.144311591,NaN,14.48294525,3.268468298,4.032477556,3.62967,2.371542868,4.906996909,NaN,6.881857492,1.85310245
5/21/1990,0.153462832,NaN,14.62493192,3.249647,4.040824883,3.578788934,2.390216434,4.898962061,NaN,6.931248261,1.862906841
5/22/1990,0.158413441,NaN,14.90890884,3.212006946,4.090919296,3.646632781,2.352869302,5.027463359,NaN,6.783072236,1.853102068
